,
.
;
AUS
Auszahlen
Behaupten
Bekommen
Bereite|Bereiten
Beschwerde
Erläutern
Frauenbewegung
Lade|Laden
Pflicht
Rauben
Schlag
Schwarzsehen
Selbstvertrauen
Stattfinden
Student
Unterrichten
Unterschrift
Untersuche|Untersuchen
Verstehen
[UNKNOWN]
[unknown
[unknown]
ab
abgeben
abhalten
abhängen
abklären
ablegen
ablehnen
ablenken
ablesen
abnehmen
abreißen
abräumen
abschließen
abschließend
absichern
absitzen
abspiegeln
abwerfen
abwischen
achten
adaptieren
an
anbahnen
anbauen
anbieten
anbringen
andeuten
aneignen
anerkennen
anfangen
anfordern
anführen
angeben
angehen
angehören|anhören
angelangen|anlangen
angucken
anhören
anklagen
anknüpfen
ankommen
anmelden
annehmen
anpassen
anrufen
anschauen
anschneiden
ansehen
anspornen
ansprechen
anstellen
antreten
antworten
anwenden
anziehen
arbeiten
auf
aufbauen
aufbewahren
aufbrechen
auffassen
auffordern
aufgeben
aufhalten
aufhören
aufklären
aufkommen
auflisten
auflösen
aufmuntern
aufnehmen
aufpassen
aufräumen
aufstehen
aufsteigen
aufstellen
auftauchen
aufwachen
aufwachsen
aufweisen
aufwerfen
aus
ausbeuten
ausbilden
ausbrechen
ausbreiten
ausdenken
ausdrücken
auseinander
auseinandersetzen
ausfahren|ausführen
ausfallen
ausführen
ausfüllen
ausgeben
ausgehen
ausgehend
ausgelassen
ausgewogen
ausgleichen
ausgrenzen
aushandeln
auskommen
auslachen
auslösen
ausmachen
ausnutzen
ausnützen
ausprobieren
ausreichend
ausrotten
ausschlagen
ausschließen
aussehen
aussprechen
aussterben
aussuchen
austauschen
austeilen
austreten
auswerten
auswählen
auszahlen
auszeichnen
auszählen
ausüben
bauen
beachten
beantragen
beantworten
bearbeiten
bedauern
bedeuten
bedienen
bedrohen
beeindrucken
beeinflussen
beeinträchtigen
beenden
befassen
befinden
befragen
befreien
befriedigen
befördern
befürchten
befürworten
begegnen
begehen
begehren
begeistern
beginnen
begleiten
begraben
begreifen
begrenzen
begrenzt
begründen
behalten
behandeln
beharren
behaupten
beherrschen
behindern
bei
beibringen
beinhalten
beitragen
beklagen
bekommen
bekämpfen
bekümmern
belagern
belasten
belastet
belehren
beleuchten
belichten
belohnen
belästigen
bemerken
bemühen
bemüht
benachteiligen
benehmen
beneiden
benennen
benutzen
benutzt
benötigen
benützen
beobachten
beraten
berauben
berechnen
berechtigen
bereit
bereiten
bereuen
beruhen
beruhigen
berücksichtigen
berühren
beschauen
beschimpfen
beschlagen
beschließen
beschreiben
beschränken
beschweren
beschädigen
beschäftigen
beschämend
beseitigen
besitzen
besorgen
besorgt
besprechen
bestehen
bestehlen
bestimmen
bestrafen
bestraffen
bestreiten
bestätigen
besuchen
beteiligen
betonen
betrachten
betragen
betreffen
betreiben
betreten
betreuen
beunruhigen
beurteilen
bevorzugen
bewaffnen
bewahren
bewegen
beweisen
bewerben
bewerten
bewirken
bewundern
bezahlen
bezeichnen
beziehen
bezweifeln
bieten
bilden
binden
bleiben
brauchen
brechen
breiten
bringen
da
dafügen|dazufügen
dar
darstellen
dass
dauern
denken
denken|gedenken
drücken
durch
durchfahren|durchführen
durchfallen
durchführen
durchgedacht
durchgehen
durchkommen
durchmachen
durchsetzen
ein
einbauen
einbeziehen
einbilden
einführen
eingeben
eingehen
eingeschlossen
eingestellt
eingreifen
einhalten
einkaufen
einlegen
einleiten
einpauken
einrichten
einschlafen
einschließen
einschätzen
einsehen
einsetzen
einsperren
einstellen
eintragen
eintreten
einwenden
einziehen
empfangen
empfehlen
empfinden
empörend
empört
enden
entdecken
entfallen
entfalten
entfernt
entgegenkommen
enthalten
entkommen
entlohnen
entscheiden
entscheidend
entschieden
entschließen
entschuldigen
entsetzen
entsorgen
entsprechen
entsprechend
entstehen
enttäuschend
enttäuscht
entwerfen
entwickeln
erbieten
erbringen
ereichen
erfahren
erfassen
erfinden
erfragen
erfüllen
ergeben
ergreifen
erhalten
erheben
erholen
erhöhen
erinnern
erkennen
erklären
erkämpfen
erlangen
erlauben
erleben
erledigen
erlernen
erleuchten
erläutern
erlösen
ermorden
ermöglichen
ermüden
erneuern
erniedrigen
ernst
ernstnehmen
ernähren
erreichen
erringen
erschaffen
erscheinen
erschießen
erschreckend
erschreckt
erschöpfen
erschöpft
erstaunt
erstehen
erstellen
erstreben
ertappen
erwarten
erwecken
erweisen
erweitern
erwerben
erwischen
erwähnen
erzeugen
erziehen
erzielen
erzwingen
erzählen
erörtern
fahren
fahren|führen
fallen
fallen|fällen
fallen|gefallen
fangen
fertigen
fest
festhalten
feststellen
finden
folgen
fordern
fortsetzen
fragen
freilassen
fühlen
führen
geben
gebrauchen
gefallen
gefährden
gehen
gelingen
genießen
geraten
geschnitten
gestehen
gewinnen
gezielt
gleich
gleichstellen
gratulieren
greifen
grenzen
groß
gut
haben
halten
handeln
heißen
her
heraus
herausfinden
herausfordern
herauskommen
herausziehen
hereinspazieren
herleiten
herstellen
herum
herumfahren
herumhängen
herumsprechen
hervorgehen
hervorheben
hier
hin
hindeuten
hinein
hineinbewegen
hineingehen
hineinstecken
hinschauen
hinterlassen
hinweisen
hinzufügen
hoch
hocharbeiten
hochsteigen
holen
hängen
hören
ihr
in
kaputtgehen
kaufen
kehren
kennen
kennenlernen
kennzeichnen
klein
kommen
kriegen
kämpfen
können
lassen
laufen
leben
legen
lehren
leiden
leisten
lernen
liegen
lohnen
los
loswerden
löhnen
lösen
lügen
machen
meinen
melden
merken
mit
mitbringen
miteinbeziehen
mitmachen
mitnehmen
mitrechnen
mitschleppen
mitteilen
mitzählen
mißachten
mißbrauchen
mißhandeln
mißverstehen
nach
nachahmen
nachdenken
nachfragen
nachholen
nachvollziehen
nahe
nan
nehmen
neiden
nutzen
nötig
nützen
offen
parken
pauken
präsentieren
rauben
raus
rausnehmen
realisieren
rechnen
rechtfertigen
reichen
reinlassen
richten
ruhig
rum
rumstehen
runter
räubern
räumen
schaffen
schauen
scheiden
scheinen
schießen
schlagen
schließen
schätzen
schöpfen
schützen
sehen
sein
setzen
sichern
so
sorgen
spiegeln
spielen
sprechen
stark
statt
stehen
stehenbleiben
steigen
stellen
sterben
stimmen
strafen
straffen
streben
streifen
studieren
tauchen
teil
teilen
teilnehmen
tot
tragen
treffen
treffen|triefen
treiben
treten
tätig
um
umdrehen
umfassen
umgeben
umgehen
umgekehrt
umsetzen
umstrukturieren
umziehen
umändern
unter-
unterdrücken
untergraben
unterhalten
untermauern
unternehmen
unterordnen
unterrichten
unterscheiden
unterschreiben
unterstützen
unterstützt
untersuchen
verankern
veranlassen
veranschaulichen
veranstalten
verbannen
verbessern
verbieten
verbinden
verbrauchen
verbreiten
verbrennen
verbringen
verbunden
verdanken
verdeutlichen
verdienen
verdoppeln
vereinbaren
vereinfachen
verflechten
verfolgen
verfremden
verfügen
verführen
vergehen
vergessen
vergessen-
vergeuden
vergewaltigen
vergleichen
verhaften
verhaftet
verhalten
verheiraten
verhindern
verhören
verirren
verkaufen
verknüpfen
verkörpern
verkürzen
verlangen
verlassen
verlernen
verletzen
verletzt
verleugnen
verlieren
verlängern
vermeiden
vermindern
vermissen
vermitteln
vermuten
vernichten
verpflichten
verprügeln
verraten
verringern
verschlechtern
verschlucken
verschwenden
verschwinden
verschönern
versichern
versorgen
versprechen
verstecken
verstehen
verstoßen
verstören
versuchen
verteidigen
verteilen
vertiefen
vertrauen
vertraut
vertreten
verursachen
verurteilen
vervollkommnen
verwahrlosen
verwechseln
verweigern
verwenden
verwirklichen
verwischen
verwurzeln
verzeihen
verzichten
verzweifelt
verändern
verüben
vollenden
vollziehen
vor
vorankommen
vorantreiben
voraussetzen
vorbehalten
vorbei
vorbereiten
vorführen
vorkommen
vorlegen
vornehm
vorschlagen
vorschreiben
vorsehen
vorsorgen
vorsprechen
vorstellen
vorziehen
wachsen
wachst
wagen
wahrnehmen
weg
wegfahren
weggeben
weggehen
weglassen
wegnehmen
wegwerfen
weigern
weisen
weiter
weiterbauen
weiterbilden
weiterentwickeln
weiterführen
weitergeben
weitergehen
weiterkommen
weitermachen
weiterstudieren
werben
werden
wider
widersagen
widerspiegeln
widersprechen
widerstehen
wie
wiedergeben
wiederholen
wiederholt
wiederlegen
wiedersprechen
wiegen
wirken
wissen
wohl
wählen
zahlen
zeigen
zeihen|ziehen
zerstören
ziehen
zielen
zu
zueignen
zufrieden
zufügen
zugeben
zugehören
zugreifen
zuhören
zukommen
zulassen
zulernen
zurecht
zurechtfinden
zurechtkommen
zurück
zurückbleiben
zurückführen
zurückgeben
zurückgehen
zurückkehren
zurückkommen
zurücklassen
zurückweisen
zurückzahlen
zusagen
zusammen
zusammenarbeiten
zusammenfassen
zusammenfassend
zusammenleben
zusammensetzen
zuschauen
zuschließen
zustimmen
zustimmend
zuteilen
ändern
öffnen
üben
überbezahlen
überein
übereinstimmen
überfallen
überfordern
übergeben
überholt
überleben
überlegen
überlegt
übernehmen
überprüfen
überqualifizieren
überqueren
überraschend
überschätzen
übersehen
übersetzen
überspringen
übersteigen
übertragen
übertreiben
überwinden
überwältigen
überzeugen
überzeugend
überzeugt
überziehen
übrig
